       57	2022-10-01 06:52:54	1	255	1	0
        0	2022-10-01 07:02:58	1	201	1	0
       81	2022-10-01 07:03:00	1	255	1	0
       17	2022-10-01 09:13:45	1	255	1	0
      116	2022-10-01 10:22:25	1	255	1	0
      118	2022-10-01 13:56:49	1	255	1	0
       11	2022-10-01 14:16:55	1	255	1	0
       11	2022-10-01 14:16:56	1	255	1	0
      118	2022-10-01 17:23:01	1	255	1	0
       17	2022-10-01 17:42:33	1	255	1	0
       57	2022-10-01 18:09:45	1	255	1	0
       81	2022-10-01 19:21:34	1	255	1	0
       57	2022-10-02 06:46:27	1	255	1	0
       81	2022-10-02 06:52:43	1	255	1	0
        0	2022-10-02 18:32:02	1	201	1	0
       57	2022-10-02 18:32:07	1	255	1	0
        7	2022-10-02 22:32:55	1	255	1	0
        0	2022-10-03 06:38:30	1	201	1	0
       11	2022-10-03 06:38:31	1	255	1	0
       11	2022-10-03 06:38:32	1	255	1	0
       21	2022-10-03 06:41:01	1	255	1	0
       57	2022-10-03 06:41:50	1	255	1	0
        0	2022-10-03 06:45:46	1	201	1	0
        0	2022-10-03 06:45:50	1	201	1	0
      119	2022-10-03 06:45:52	1	255	1	0
        0	2022-10-03 06:51:36	1	201	1	0
        7	2022-10-03 06:51:37	1	255	1	0
      110	2022-10-03 06:52:01	1	255	1	0
        8	2022-10-03 06:57:25	1	255	1	0
        8	2022-10-03 06:57:26	1	255	1	0
        0	2022-10-03 07:23:21	1	201	1	0
       17	2022-10-03 07:23:24	1	255	1	0
      118	2022-10-03 07:28:24	1	255	1	0
       53	2022-10-03 07:36:35	1	255	1	0
      116	2022-10-03 08:02:45	1	255	1	0
        6	2022-10-03 08:07:51	1	255	1	0
        8	2022-10-03 16:30:22	1	255	1	0
       21	2022-10-03 17:43:22	1	255	1	0
      106	2022-10-03 17:45:58	1	255	1	0
      116	2022-10-03 17:53:51	1	255	1	0
        0	2022-10-03 18:00:07	1	201	1	0
       11	2022-10-03 18:00:09	1	255	1	0
      110	2022-10-03 18:09:33	1	255	1	0
       57	2022-10-03 18:11:02	1	255	1	0
       17	2022-10-03 18:37:08	1	255	1	0
        0	2022-10-03 18:40:54	1	201	1	0
       15	2022-10-03 18:40:57	1	255	1	0
        7	2022-10-03 19:06:06	1	255	1	0
        6	2022-10-03 20:03:16	1	255	1	0
      118	2022-10-03 20:04:29	1	255	1	0
       41	2022-10-04 05:22:40	1	255	1	0
      110	2022-10-04 06:44:11	1	255	1	0
      110	2022-10-04 06:44:12	1	255	1	0
       81	2022-10-04 06:48:11	1	255	1	0
